
contentsid,page_s,page_e,grade,main_unit,sub_unit,contents,vsm
c399862d3b9d6b76c8436e924a68c45b,1,1,中学1年,正の数・負の数,0より小さい数,"1. 正の符号, 負の符号[改訂版 STEP演習 中学数学1 STEP A 問題1]  \n次の温度を, 正の符号, 負の符号を使って表しなさい.  \n(1) 0℃より3℃高い温度  \n(2) 0℃より12.5℃低い温度  \n\n解答  \n(1) \(+3^\circ C\)  (2) \(-12.5^\circ C\)  \n\n(1) \(+3^\circ C\)  \n(2) \(-12.5^\circ C\)  \n\n−1−",
c399862d3b9d6b76c8436e924a68c45b,2,2,中学1年,正の数・負の数,0より小さい数,"2. 正の符号,負の符号[改訂版 STEP演習 中学数学1 STEP A 問題2]  \n次の数を,正の符号,負の符号を使って表しなさい。  \n(1) 0より8大きい数  \n(2) 0より2.7大きい数  \n(3) 0より\frac{{2}}{{3}}大きい数  \n(4) 0より26小さい数  \n(5) 0より0.03小さい数  \n(6) 0より\frac{{9}}{{4}}小さい数  \n\n解答  (1) +8  (2) +2.7  (3) +\frac{{2}}{{3}}  (4) −26  (5) −0.03  (6) −\frac{{9}}{{4}}  \n\n(1) +8  \n(2) +2.7  \n(3) +\frac{{2}}{{3}}  \n(4) −26  \n(5) −0.03  \n(6) −\frac{{9}}{{4}}",
c399862d3b9d6b76c8436e924a68c45b,3,3,中学1年,正の数・負の数,0より小さい数,3. 正の数，負の数［改訂版　STEP演習　中学数学1　STEP A　問題3］  \n下の数の中から，次の数をすべて選びなさい．  \n+12，+1.5，\frac{{5}}{{3}}，−2，−0.35，0，4，+\frac{{9}}{{4}}，−20，5，−23.1  \n\n(1) 整数  \n(2) 負の数  \n(3) 自然数  \n(4) 負の整数  \n\n解答  \n(1) +12，−2，0，4，−20，5  \n(2) −2，−0.35，−20，−23.1  \n(3) +12，4，5  \n(4) −2，−20  \n\n(1) +12，−2，0，4，−20，5  \n(2) −2，−0.35，−20，−23.1  \n(3) +12，4，5  \n(4) −2，−20  \n\n−3−,
c399862d3b9d6b76c8436e924a68c45b,4,4,中学1年,正の数・負の数,正の数・負の数で量を表すこと,4. 符号のついた数で表す［改訂版 STEP演習 中学数学 1 STEP A 問題 4］  \n20 °Cを基準にして、それより高いことを正の数で、低いことを負の数で表すことにする。  \nたとえば、21 °Cは+1 °Cと表すことにする。このとき、次の温度がどのように表されるか答えなさい。  \n(1) 32 °C (2) 58 °C (3) 14 °C (4) 2 °C (5) −10 °C  \n\n解答  \n(1) +12 °C (2) +38 °C (3) −6 °C (4) −18 °C (5) −30 °C  \n\n(1) $+12^\circ\mathrm{C}$  \n(2) $+38^\circ\mathrm{C}$  \n(3) $-6^\circ\mathrm{C}$  \n(4) $-18^\circ\mathrm{C}$  \n(5) $-30^\circ\mathrm{C}$,
c399862d3b9d6b76c8436e924a68c45b,5,5,中学1年,正の数・負の数,正の数・負の数で量を表すこと,5. 符号のついた数で表す［改訂版 STEP演習 中学数学1 STEP A 問題5］  \n次のことを、正の符号、負の符号を使って表しなさい。  \n(1) 北へ5 km進むことを$+5\mathrm{km}$と表すとき、南へ7 km進むこと  \n(2) 250円の支出を$-250\mathrm{円}$と表すとき、750円の収入  \n(3) 2時間後を$+2$時間と表すとき、6時間前  \n(4) 20％の減少を$-20\%$と表すとき、15％の増加  \n\n解答 (1) $-7\mathrm{km}$ (2) $+750\mathrm{円}$ (3) $-6$時間 (4) $+15\%$  \n\n(1) $-7\mathrm{km}$  \n(2) $+750\mathrm{円}$  \n(3) $-6$時間  \n(4) $+15\%$,
c399862d3b9d6b76c8436e924a68c45b,6,6,中学1年,正の数・負の数,正の数・負の数で量を表すこと,6. 符号のついた数で表す［改訂版　STEP演習　中学数学1　STEP A　問題6］  \n［　］内のことばを使って、次の数量を表しなさい。  \n(1) 8小さい　［大きい］  \n(2) 7大きい　［小さい］  \n(3) 3個少ない　［多い］  \n(4) 南へ30 km進む　［北］  \n(5) 8 ℃の低下　［上昇］  \n(6) 120 円の支出　［収入］  \n\n解答  \n(1) −8大きい  \n(2) −7小さい  \n(3) −3個多い  \n(4) 北へ−30 km進む  \n(5) −8 ℃の上昇  \n(6) −120 円の収入  \n\n(1) −8大きい  \n(2) −7小さい  \n(3) −3個多い  \n(4) 北へ−30 km進む  \n(5) −8 ℃の上昇  \n(6) −120 円の収入,
c399862d3b9d6b76c8436e924a68c45b,7,7,中学1年,正の数・負の数,正の数・負の数で量を表すこと,7. 符号のついた数で表す［改訂版 STEP演習　中学数学1 STEP A　問題7］  \n次のことを，負の数を使わないで表しなさい。  \n(1) –6 小さい  \n(2) –5 個多い  \n(3) 東へ –15 m 進む  \n(4) –500 円の支出  \n(5) –12 g 重い  \n(6) –30 秒後  \n\n解答  \n(1) 6 大きい  \n(2) 5 個少ない  \n(3) 西へ 15 m 進む  \n(4) 500 円の収入  \n(5) 12 g 軽い  \n(6) 30 秒前  \n\n(1) 6 大きい  \n(2) 5 個少ない  \n(3) 西へ 15 m 進む  \n(4) 500 円の収入  \n(5) 12 g 軽い  \n(6) 30 秒前  \n\n–7–,
c399862d3b9d6b76c8436e924a68c45b,8,8,中学1年,正の数・負の数,絶対値と数の大小,"8. 数直線【改訂版 STEP演習 中学数学1 STEP A 問題8】  \n下の数直線で、点 A, B, C, D, E の表す数を答えなさい。  \n\n解答  \nA：$-7$, B：$-1$, C：$+2$, D：$+6$, E：$+9$  \n\nA：$-7$, B：$-1$, C：$+2$, D：$+6$, E：$+9$",
c399862d3b9d6b76c8436e924a68c45b,9,9,中学1年,正の数・負の数,絶対値と数の大小,9. 数直線［改訂版　STEP演習　中学数学１　STEP A　問題９］  \n下の数直線上に、次の数を表す点をかき入れなさい。  \n(1) + 7 (2) − 3 (3) +\frac{{5}}{{2}} (4) − 7.5 (5) −\frac{{9}}{{2}}  \n\n−10 −5 0 +5 +10  \n\n解答　［図］  \n(4) (5) (2) (3) (1)  \n\n−10 −5 0 +5 +10,
c399862d3b9d6b76c8436e924a68c45b,10,10,中学1年,正の数・負の数,絶対値と数の大小,"10. 数の大小と不等号［改訂版 STEP演習 中学数学1 STEP A 問題10］  \n次の各組の数の大小を、不等号を使って表しなさい。  \n(1) –4, ＋3  \n(2) ＋7, –6  \n(3) –2, –5  \n(4) –\frac{{7}}{{4}}, ＋1.8  \n(5) –\frac{{5}}{{12}}, –\frac{{2}}{{5}}  \n(6) –0.6, –\frac{{2}}{{3}}  \n(7) ＋1, –4, –2  \n(8) 0, ＋5, –6  \n(9) –2, –\frac{{5}}{{4}}, –3  \n\n解答  \n(1) –4 < ＋3  \n(2) ＋7 > –6  \n(3) –2 > –5  \n(4) –\frac{{7}}{{4}} < ＋1.8  \n(5) –\frac{{5}}{{12}} < –\frac{{2}}{{5}}  \n(6) –0.6 > –\frac{{2}}{{3}}  \n(7) –4 < –2 < ＋1  \n(8) –6 < 0 < ＋5  \n(9) –3 < –2 < –\frac{{5}}{{4}}  \n\n(1) –4 < ＋3  \n(2) ＋7 > –6  \n(3) –2 > –5  \n(4) –\frac{{7}}{{4}} < ＋1.8  \n(5) –\frac{{5}}{{12}} = –\frac{{25}}{{60}},   –\frac{{2}}{{5}} = –\frac{{24}}{{60}}  \n　よって  –\frac{{5}}{{12}} < –\frac{{2}}{{5}}  \n(6) –\frac{{2}}{{3}} = –0.66…  \n　よって  –0.6 > –\frac{{2}}{{3}}  \n(7) –4 < –2 < ＋1  \n(8) –6 < 0 < ＋5  \n(9) –\frac{{5}}{{4}} = –1.25  \n　よって  –3 < –2 < –\frac{{5}}{{4}}",
