id,Word,Part of Speech,Level,Topic_raw
500000001,a.m./A.M./am/AM,020000002,021000001,Time and space
500000002,abandon,020000004,021000003,Notions
500000003,abandoned,020000001,021000004,Homes and buildings
500000004,ability,020000003,021000002,Functions
500000005,able,020000001,021000003,People
500000006,abnormal,020000001,021000003,Notions
500000007,abnormally,020000002,021000004,Notions
500000008,aboard,020000002,021000003,Travel
500000009,abolish,020000004,021000004,Notions
500000010,aboriginal,020000001,021000004,Time and space
500000011,aborigine,020000003,021000003,People
500000012,about,020000002,021000001,Time and space
500000013,above,020000001,021000003,Communication
500000014,above,020000002,021000001,Communication
500000015,abroad,020000002,021000002,Travel
500000016,abruptly,020000002,021000004,Communication
500000017,absence,020000003,021000003,Communication
500000018,absent,020000001,021000003,Health
500000019,absentee,020000003,021000004,People
500000020,absolute,020000001,021000003,Functions
500000021,absolutely,020000002,021000003,Functions
500000022,absorb,020000004,021000003,Science and technology
500000023,abstract,020000001,021000003,Culture
500000024,absurd,020000001,021000004,Notions
500000025,abundance,020000003,021000003,Notions
500000026,abundant,020000001,021000003,Notions
500000027,abuse,020000003,021000004,People; Politics and society
500000028,academic,020000001,021000003,People
500000029,academy,020000003,021000003,People
500000030,accent,020000003,021000003,Communication
500000031,accept,020000004,021000002,Functions; Politics and society
500000032,acceptable,020000001,021000002,Functions
500000033,acceptance,020000003,021000003,Functions; Politics and society
500000034,access,020000003,021000003,Health
500000035,access,020000004,021000004,Science and technology
500000036,accessibility,020000003,021000004,Health
500000037,accessible,020000001,021000003,Communication
500000038,accessory,020000003,021000003,Appearance; Leisure; Politics and society
500000039,accident,020000003,021000002,Health; Travel
500000040,accidental,020000001,021000003,Notions
500000041,accidentally,020000002,021000003,Notions
500000042,accommodation,020000003,021000004,Functions; Homes and buildings; Science and technology; Travel
500000043,accompany,020000004,021000003,Travel
500000044,accomplish,020000004,021000003,Notions
500000045,accordingly,020000002,021000004,Functions
500000046,account,020000003,021000002,Communication; Leisure
500000047,account,020000004,021000003,Functions
500000048,accountant,020000003,021000003,People; Work and business
500000049,accumulate,020000004,021000004,Notions
500000050,accuracy,020000003,021000003,Politics and society
500000051,accurate,020000001,021000003,Functions
500000052,accurately,020000002,021000003,Notions
500000053,accusation,020000003,021000004,Politics and society
500000054,accuse,020000004,021000003,Communication
500000055,accustom,020000004,021000003,Notions
500000056,ache,020000003,021000003,Health
500000057,ache,020000004,021000004,Health
500000058,achievable,020000001,021000004,Appearance
500000059,achieve,020000004,021000002,Notions
500000060,achievement,020000003,021000003,Leisure; Notions
500000061,acid,020000003,021000004,Science and technology
500000062,acknowledge,020000004,021000003,Communication
500000063,acknowledgment/acknowledgement,020000003,021000003,Notions
500000064,acquaintance,020000003,021000003,People
500000065,acquire,020000004,021000003,Time and space
500000066,acquisition,020000003,021000004,People
500000067,across,020000002,021000002,Health
500000068,act,020000003,021000002,Culture; Politics and society
500000069,act,020000004,021000003,Culture
500000070,action,020000003,021000001,Culture; Politics and society; Science and technology; Time and space
500000071,active,020000001,021000003,Communication; People
500000072,actively,020000002,021000004,Notions
500000073,activity,020000003,021000001,Leisure
500000074,actor,020000003,021000001,Culture
500000075,actress,020000003,021000003,Culture
500000076,actual,020000001,021000004,Time and space
500000077,actually,020000002,021000002,Communication
500000078,acute,020000001,021000004,Health
500000079,ad,020000003,021000003,Culture
500000080,adapt,020000004,021000003,Culture; Notions
500000081,adaptable,020000001,021000004,Notions
500000082,add,020000004,021000001,Science and technology
500000083,addict,020000003,021000004,Health; People; Politics and society
500000084,addicted,020000001,021000004,Health; People; Politics and society
500000085,addiction,020000003,021000004,Health; Politics and society
500000086,addition,020000003,021000002,Science and technology
500000087,additional,020000001,021000002,Time and space
500000088,additionally,020000002,021000004,Time and space
500000089,address,020000003,021000001,Communication
500000090,address,020000004,021000003,Communication
500000091,addressee,020000003,021000003,Communication
500000092,adequate,020000001,021000004,Functions
500000093,adequately,020000002,021000004,Functions
500000094,adjective,020000003,021000002,Communication
500000095,adjust,020000004,021000002,Work and business
500000096,adjustment,020000003,021000004,Appearance
500000097,administration,020000003,021000003,Health
500000098,administrative,020000001,021000004,Work and business
500000099,admirable,020000001,021000004,Notions
500000100,admiration,020000003,021000003,Functions
500000101,admire,020000004,021000002,Appearance
500000102,admiringly,020000002,021000004,Notions
500000103,admission,020000003,021000003,Health; People
500000104,admit,020000004,021000002,Health; People
500000105,admittedly,020000002,021000004,Notions
500000106,adopt,020000004,021000003,People; Politics and society
500000107,adopted,020000001,021000004,Notions
500000108,adoption,020000003,021000004,Functions; People; Politics and society
500000109,adorable,020000001,021000003,Notions
500000110,adore,020000004,021000004,Functions; People
500000111,adorn,020000004,021000004,Appearance
500000112,adult,020000001,021000002,People
500000113,adult,020000003,021000002,People
500000114,advance,020000003,021000004,Notions; Politics and society
500000115,advance,020000004,021000003,Functions; Notions
500000116,advanced,020000001,021000002,Communication
500000117,advancement,020000003,021000004,Notions; Science and technology
500000118,advantage,020000003,021000002,Notions; Sport
500000119,advent,020000003,021000004,Politics and society
500000120,adventure,020000003,021000002,Notions; Travel
500000121,adventurous,020000001,021000004,Notions
500000122,adverb,020000003,021000003,Communication
500000123,adverbial,020000001,021000003,Communication
500000124,adverse,020000001,021000004,Functions
500000125,adversely,020000002,021000004,Functions
500000126,adversity,020000003,021000004,Notions
500000127,advert,020000003,021000003,Culture
500000128,advertise,020000004,021000003,Culture
500000129,advertisement,020000003,021000002,Culture
500000130,advertising,020000003,021000002,Culture
500000131,advice,020000003,021000002,Functions
500000132,advise,020000004,021000002,Functions
500000133,adviser/advisor,020000003,021000003,Functions
500000134,aerobics,020000003,021000003,Health; Sport
500000135,affair,020000003,021000002,People; Politics and society
500000136,affect,020000004,021000003,Health
500000137,affection,020000003,021000003,People
500000138,affectionate,020000001,021000004,People
500000139,affectionately,020000002,021000004,Notions
500000140,afford,020000004,021000003,Leisure
500000141,affordable,020000001,021000004,Work and business
500000142,afraid,020000001,021000001,Notions; People
500000143,after,020000002,021000002,Time and space
500000144,afternoon,020000003,021000001,Time and space
500000145,afterward/afterwards,020000002,021000003,Time and space
500000146,again,020000002,021000001,Functions
500000147,age,020000003,021000001,Time and space
500000148,aged,020000001,021000002,People
500000149,ageless,020000001,021000004,People
500000150,agency,020000003,021000002,Politics and society
500000151,agenda,020000003,021000003,Work and business
500000152,agent,020000003,021000002,Culture
500000153,aggressive,020000001,021000003,Health; Notions; People
500000154,aggressively,020000002,021000004,Notions
500000155,ago,020000002,021000001,Time and space
500000156,agonize/agonise,020000004,021000004,Appearance
500000157,agony,020000003,021000004,Health
500000158,agree,020000004,021000001,Communication; Functions
500000159,agreement,020000003,021000003,Communication; Functions; Politics and society
500000160,agricultural,020000001,021000003,The natural world
500000161,agriculture,020000003,021000003,The natural world
500000162,ahead,020000002,021000002,Time and space
500000163,aid,020000003,021000003,Politics and society; The natural world
500000164,aid,020000004,021000003,Politics and society; The natural world
500000165,aim,020000003,021000003,Notions
500000166,aim,020000004,021000004,Notions
500000167,air,020000003,021000002,Culture; The natural world
500000168,air conditioning,020000003,021000003,Homes and buildings; Travel
500000169,air force,020000003,021000003,Politics and society
500000170,aircraft,020000003,021000004,Travel
500000171,aircrew,020000003,021000004,Politics and society; Travel
500000172,airline,020000003,021000003,Travel
500000173,airplane/aeroplane,020000003,021000001,Travel
500000174,airport,020000003,021000001,Travel
500000175,aisle,020000003,021000002,Culture; Homes and buildings; Leisure; Travel
500000176,alarm,020000003,021000002,Homes and buildings; Notions; People
500000177,alarm,020000004,021000003,People
500000178,alarm clock,020000003,021000002,Homes and buildings
500000179,album,020000003,021000001,Culture
500000180,alcohol,020000003,021000003,Food and drink; Politics and society; Science and technology
500000181,alcoholic,020000001,021000003,Food and drink; Health; Politics and society
500000182,alcoholic,020000003,021000004,Health; Politics and society
500000183,alcoholism,020000003,021000004,Health; Politics and society
500000184,alert,020000004,021000004,Notions; Politics and society
500000185,alike,020000001,021000003,People
500000186,alike,020000002,021000003,People
500000187,alive,020000001,021000002,Health
500000188,all,020000002,021000002,Time and space
500000189,all right,020000001,021000001,Functions
500000190,all right,020000002,021000001,Functions
500000191,allegation,020000003,021000004,Politics and society
500000192,allergic,020000001,021000003,Functions; Health
500000193,alliance,020000003,021000004,Functions; Politics and society
500000194,allow,020000004,021000002,Functions
500000195,allowance,020000003,021000003,Functions
500000196,ally,020000003,021000004,People; Politics and society
500000197,almost,020000002,021000001,Notions
500000198,alone,020000001,021000002,People
500000199,alone,020000002,021000001,People
500000200,along,020000002,021000001,Appearance
500000201,aloud,020000002,021000003,Communication
500000202,alphabet,020000003,021000003,Communication
500000203,alphabetical,020000001,021000004,Time and space
500000204,already,020000002,021000001,Communication
500000205,alright,020000001,021000002,Functions
500000206,alright,020000002,021000002,Functions
500000207,also,020000002,021000001,Notions
500000208,altar,020000003,021000004,Politics and society
500000209,alter,020000004,021000004,Notions
500000210,alternate,020000004,021000004,Time and space
500000211,alternative,020000001,021000003,Functions
500000212,alternative,020000003,021000003,Functions
500000213,alternatively,020000002,021000004,Functions
500000214,altitude,020000003,021000004,The natural world
500000215,altogether,020000002,021000003,Time and space
500000216,aluminum/aluminium,020000003,021000004,Science and technology
500000217,always,020000002,021000001,Functions
500000218,amaze,020000004,021000004,People
500000219,amazed,020000001,021000003,People
500000220,amazement,020000003,021000004,People
500000221,amazing,020000001,021000003,Notions
500000222,amazingly,020000002,021000004,Notions
500000223,ambassador,020000003,021000004,Politics and society
500000224,ambiguity,020000003,021000004,Communication
500000225,ambiguous,020000001,021000004,Functions
500000226,ambition,020000003,021000002,Notions
500000227,ambitious,020000001,021000003,Notions; People
500000228,ambulance,020000003,021000003,Health; Travel
500000229,ammonia,020000003,021000004,Science and technology
500000230,amount,020000003,021000003,Work and business
500000231,ample,020000001,021000004,Notions
500000232,amplifier,020000003,021000004,Culture; Science and technology
500000233,amplify,020000004,021000004,Culture
500000234,amuse,020000004,021000004,Time and space
500000235,amused,020000001,021000002,Notions
500000236,amusement,020000003,021000002,People
500000237,amusing,020000001,021000003,Notions
500000238,analogy,020000003,021000004,Communication
500000239,analysis,020000003,021000003,Science and technology
500000240,analyst,020000003,021000004,People
500000241,analyze/analyse,020000004,021000003,Science and technology
500000242,ancestor,020000003,021000002,People; Time and space
500000243,anchor,020000003,021000004,Culture; Travel
500000244,anchorage,020000003,021000004,Travel
500000245,anchorman,020000003,021000004,Culture
500000246,anchorperson,020000003,021000004,Leisure
500000247,ancient,020000001,021000002,Homes and buildings; Time and space
500000248,angel,020000003,021000002,People; Politics and society
500000249,anger,020000003,021000003,People
500000250,angle,020000003,021000003,Appearance; Science and technology
500000251,angrily,020000002,021000002,People
500000252,angry,020000001,021000001,People
500000253,anguish,020000003,021000004,Health
500000254,animal,020000003,021000001,Animals
500000255,animate,020000004,021000004,Culture
500000256,animated,020000001,021000003,Culture; People
500000257,animation,020000003,021000003,Culture; Science and technology
500000258,ankle,020000003,021000002,Appearance
500000259,anniversary,020000003,021000002,People; Politics and society
500000260,announce,020000004,021000003,Culture
500000261,announcement,020000003,021000003,Politics and society
500000262,annoy,020000004,021000002,People
500000263,annoyance,020000003,021000003,People
500000264,annoyed,020000001,021000003,People
500000265,annoying,020000001,021000002,People
500000266,annual,020000001,021000003,Time and space
500000267,annually,020000002,021000003,Time and space
500000268,anonymous,020000001,021000004,Communication
500000269,answer,020000003,021000001,People
500000270,answer,020000004,021000001,People
500000271,ant,020000003,021000003,Animals
500000272,anti,020000001,021000003,Notions
500000273,antiaircraft,020000001,021000004,Notions
500000274,antibacterial,020000001,021000004,Notions
500000275,anticancer,020000003,021000004,Health; Travel
500000276,anticipate,020000004,021000004,Time and space
500000277,anticipation,020000003,021000004,Functions
500000278,antipollution,020000003,021000004,Politics and society
500000279,antique,020000001,021000004,Leisure
500000280,antique,020000003,021000003,Leisure
500000281,antistatic,020000001,021000004,Notions
500000282,antivirus,020000003,021000004,Health; Travel
500000283,antonym,020000003,021000003,People
500000284,anxiety,020000003,021000003,Health; People
500000285,anxious,020000001,021000002,People
500000286,anxiously,020000002,021000003,Notions
500000287,anyhow,020000002,021000003,Time and space
500000288,anymore,020000002,021000002,Notions
500000289,anyway,020000002,021000002,Functions
500000290,anywhere,020000002,021000002,Time and space
500000291,apart,020000002,021000002,Communication
500000292,apartment,020000003,021000002,Homes and buildings; Travel
500000293,ape,020000003,021000003,Animals
500000294,apologize/apologise,020000004,021000002,Communication
500000295,apology,020000003,021000003,Work and business
500000296,apostrophe,020000003,021000004,Communication
500000297,apparent,020000001,021000003,Functions
500000298,apparently,020000002,021000002,Communication
500000299,appeal,020000003,021000003,Functions; Politics and society
500000300,appeal,020000004,021000004,Functions; Politics and society
500000301,appear,020000004,021000002,Culture
500000302,appearance,020000003,021000002,Appearance
500000303,appetite,020000003,021000003,Food and drink
500000304,applaud,020000004,021000003,Notions
500000305,applause,020000003,021000003,Politics and society
500000306,apple,020000003,021000001,Food and drink
500000307,applicant,020000003,021000004,People
500000308,application,020000003,021000003,Functions; People; Science and technology
500000309,apply,020000004,021000002,Work and business
500000310,appoint,020000004,021000003,Work and business
500000311,appointment,020000003,021000002,Health
500000312,appreciate,020000004,021000002,Notions
500000313,appreciation,020000003,021000003,Notions
500000314,appreciative,020000001,021000004,Notions
500000315,approach,020000003,021000003,Travel
500000316,approach,020000004,021000004,Travel
500000317,appropriate,020000001,021000002,Notions
500000318,appropriately,020000002,021000004,Notions
500000319,approval,020000003,021000003,Functions; People
500000320,approve,020000004,021000003,Functions
500000321,approximate,020000001,021000004,Notions
500000322,approximately,020000002,021000003,Notions
500000323,April,020000003,021000001,Time and space
500000324,apron,020000003,021000001,Appearance; Travel
500000325,arch,020000003,021000004,Appearance; Homes and buildings
500000326,archaeologist/archeologist,020000003,021000004,Time and space
500000327,architect,020000003,021000003,Science and technology
