id,name,subunit,unit,num_strokes,radical,difficulty_1,difficulty_2,difficulty_3,topic,attribute_on,attribute_kun
800000001,あ,303000001,203000001,3,,,,,,,
800000002,い,303000001,203000001,2,,,,,,,
800000003,う,303000001,203000001,2,,,,,,,
800000004,え,303000001,203000001,2,,,,,,,
800000005,お,303000001,203000001,3,,,,,,,
800000006,か,303000001,203000001,3,,,,,,,
800000007,き,303000001,203000001,4,,,,,,,
800000008,く,303000001,203000001,1,,,,,,,
800000009,け,303000001,203000001,3,,,,,,,
800000010,こ,303000001,203000001,2,,,,,,,
800000011,さ,303000001,203000001,3,,,,,,,
800000012,し,303000001,203000001,1,,,,,,,
800000013,す,303000001,203000001,2,,,,,,,
800000014,せ,303000001,203000001,3,,,,,,,
800000015,そ,303000001,203000001,1,,,,,,,
800000016,た,303000001,203000001,4,,,,,,,
800000017,ち,303000001,203000001,2,,,,,,,
800000018,つ,303000001,203000001,1,,,,,,,
800000019,て,303000001,203000001,1,,,,,,,
800000020,と,303000001,203000001,2,,,,,,,
800000021,な,303000001,203000001,4,,,,,,,
800000022,に,303000001,203000001,3,,,,,,,
800000023,ぬ,303000001,203000001,2,,,,,,,
800000024,ね,303000001,203000001,2,,,,,,,
800000025,の,303000001,203000001,1,,,,,,,
800000026,は,303000001,203000001,3,,,,,,,
800000027,ひ,303000001,203000001,1,,,,,,,
800000028,ふ,303000001,203000001,4,,,,,,,
800000029,へ,303000001,203000001,1,,,,,,,
800000030,ほ,303000001,203000001,4,,,,,,,
800000031,ま,303000001,203000001,3,,,,,,,
800000032,み,303000001,203000001,2,,,,,,,
800000033,む,303000001,203000001,3,,,,,,,
800000034,め,303000001,203000001,2,,,,,,,
800000035,も,303000001,203000001,3,,,,,,,
800000036,や,303000001,203000001,3,,,,,,,
800000037,ゆ,303000001,203000001,2,,,,,,,
800000038,よ,303000001,203000001,2,,,,,,,
800000039,ら,303000001,203000001,2,,,,,,,
800000040,り,303000001,203000001,2,,,,,,,
800000041,る,303000001,203000001,1,,,,,,,
800000042,れ,303000001,203000001,2,,,,,,,
800000043,ろ,303000001,203000001,1,,,,,,,
800000044,わ,303000001,203000001,2,,,,,,,
800000045,を,303000001,203000001,3,,,,,,,
800000046,きゃ,303000002,203000001,,,,,,,,
800000047,きゅ,303000002,203000001,,,,,,,,
800000048,きょ,303000002,203000001,,,,,,,,
800000049,しゃ,303000002,203000001,,,,,,,,
800000050,しゅ,303000002,203000001,,,,,,,,
800000051,しょ,303000002,203000001,,,,,,,,
800000052,ちゃ,303000002,203000001,,,,,,,,
800000053,ちゅ,303000002,203000001,,,,,,,,
800000054,ちょ,303000002,203000001,,,,,,,,
800000055,にゃ,303000002,203000001,,,,,,,,
800000056,にゅ,303000002,203000001,,,,,,,,
800000057,にょ,303000002,203000001,,,,,,,,
800000058,ひゃ,303000002,203000001,,,,,,,,
800000059,ひゅ,303000002,203000001,,,,,,,,
800000060,ひょ,303000002,203000001,,,,,,,,
800000061,みゃ,303000002,203000001,,,,,,,,
800000062,みゅ,303000002,203000001,,,,,,,,
800000063,みょ,303000002,203000001,,,,,,,,
800000064,りゃ,303000002,203000001,,,,,,,,
800000065,りゅ,303000002,203000001,,,,,,,,
800000066,りょ,303000002,203000001,,,,,,,,
800000067,っ,303000003,203000001,1,,,,,,,
800000068,ん,303000004,203000001,1,,,,,,,
800000069,あ,303000005,203000001,,,,,,,,
800000070,い,303000005,203000001,,,,,,,,
800000071,う,303000005,203000001,,,,,,,,
800000072,え,303000005,203000001,,,,,,,,
800000073,お,303000005,203000001,,,,,,,,
800000074,が,303000006,203000001,5,,,,,,,
800000075,ぎ,303000006,203000001,6,,,,,,,
800000076,ぐ,303000006,203000001,3,,,,,,,
800000077,げ,303000006,203000001,5,,,,,,,
800000078,ご,303000006,203000001,4,,,,,,,
800000079,ざ,303000006,203000001,5,,,,,,,
800000080,じ,303000006,203000001,3,,,,,,,
800000081,ず,303000006,203000001,4,,,,,,,
800000082,ぜ,303000006,203000001,5,,,,,,,
800000083,ぞ,303000006,203000001,3,,,,,,,
800000084,だ,303000006,203000001,6,,,,,,,
800000085,ぢ,303000006,203000001,4,,,,,,,
800000086,づ,303000006,203000001,3,,,,,,,
800000087,で,303000006,203000001,3,,,,,,,
800000088,ど,303000006,203000001,4,,,,,,,
800000089,ば,303000006,203000001,5,,,,,,,
800000090,び,303000006,203000001,3,,,,,,,
800000091,ぶ,303000006,203000001,6,,,,,,,
800000092,べ,303000006,203000001,3,,,,,,,
800000093,ぼ,303000006,203000001,6,,,,,,,
800000094,ぱ,303000007,203000001,4,,,,,,,
800000095,ぴ,303000007,203000001,2,,,,,,,
800000096,ぷ,303000007,203000001,5,,,,,,,
800000097,ぺ,303000007,203000001,2,,,,,,,
800000098,ぽ,303000007,203000001,5,,,,,,,
800000099,ぎゃ,303000008,203000001,,,,,,,,
800000100,ぎゅ,303000008,203000001,,,,,,,,
800000101,ぎょ,303000008,203000001,,,,,,,,
800000102,じゃ,303000008,203000001,,,,,,,,
800000103,じゅ,303000008,203000001,,,,,,,,
800000104,じょ,303000008,203000001,,,,,,,,
800000105,ぢゃ,303000008,203000001,,,,,,,,
800000106,ぢゅ,303000008,203000001,,,,,,,,
800000107,ぢょ,303000008,203000001,,,,,,,,
800000108,びゃ,303000008,203000001,,,,,,,,
800000109,びゅ,303000008,203000001,,,,,,,,
800000110,びょ,303000008,203000001,,,,,,,,
800000111,ぴゃ,303000009,203000001,,,,,,,,
800000112,ぴゅ,303000009,203000001,,,,,,,,
800000113,ぴょ,303000009,203000001,,,,,,,,
800000114,ア,303000001,203000002,2,,,,,,,
800000115,イ,303000001,203000002,2,,,,,,,
800000116,ウ,303000001,203000002,3,,,,,,,
800000117,エ,303000001,203000002,3,,,,,,,
800000118,オ,303000001,203000002,3,,,,,,,
800000119,カ,303000001,203000002,2,,,,,,,
800000120,キ,303000001,203000002,3,,,,,,,
800000121,ク,303000001,203000002,2,,,,,,,
800000122,ケ,303000001,203000002,3,,,,,,,
800000123,コ,303000001,203000002,2,,,,,,,
800000124,サ,303000001,203000002,3,,,,,,,
800000125,シ,303000001,203000002,3,,,,,,,
800000126,ス,303000001,203000002,2,,,,,,,
800000127,セ,303000001,203000002,2,,,,,,,
800000128,ソ,303000001,203000002,2,,,,,,,
800000129,タ,303000001,203000002,3,,,,,,,
800000130,チ,303000001,203000002,3,,,,,,,
800000131,ツ,303000001,203000002,3,,,,,,,
800000132,テ,303000001,203000002,3,,,,,,,
800000133,ト,303000001,203000002,2,,,,,,,
800000134,ナ,303000001,203000002,2,,,,,,,
800000135,ニ,303000001,203000002,2,,,,,,,
800000136,ヌ,303000001,203000002,2,,,,,,,
800000137,ネ,303000001,203000002,4,,,,,,,
800000138,ノ,303000001,203000002,1,,,,,,,
800000139,ハ,303000001,203000002,2,,,,,,,
800000140,ヒ,303000001,203000002,2,,,,,,,
800000141,フ,303000001,203000002,1,,,,,,,
800000142,へ,303000001,203000002,1,,,,,,,
800000143,ホ,303000001,203000002,4,,,,,,,
800000144,マ,303000001,203000002,2,,,,,,,
800000145,ミ,303000001,203000002,3,,,,,,,
800000146,ム,303000001,203000002,2,,,,,,,
800000147,メ,303000001,203000002,2,,,,,,,
800000148,モ,303000001,203000002,3,,,,,,,
800000149,ヤ,303000001,203000002,2,,,,,,,
800000150,ユ,303000001,203000002,2,,,,,,,
800000151,ヨ,303000001,203000002,3,,,,,,,
800000152,ラ,303000001,203000002,2,,,,,,,
800000153,リ,303000001,203000002,2,,,,,,,
800000154,ル,303000001,203000002,2,,,,,,,
800000155,レ,303000001,203000002,1,,,,,,,
800000156,ロ,303000001,203000002,3,,,,,,,
800000157,ワ,303000001,203000002,2,,,,,,,
800000158,ヲ,303000001,203000002,3,,,,,,,
800000159,キャ,303000002,203000002,,,,,,,,
800000160,キュ,303000002,203000002,,,,,,,,
800000161,キョ,303000002,203000002,,,,,,,,
800000162,シャ,303000002,203000002,,,,,,,,
800000163,シュ,303000002,203000002,,,,,,,,
800000164,ショ,303000002,203000002,,,,,,,,
800000165,チャ,303000002,203000002,,,,,,,,
800000166,チュ,303000002,203000002,,,,,,,,
800000167,チョ,303000002,203000002,,,,,,,,
800000168,ニャ,303000002,203000002,,,,,,,,
800000169,ニュ,303000002,203000002,,,,,,,,
800000170,ニョ,303000002,203000002,,,,,,,,
800000171,ヒャ,303000002,203000002,,,,,,,,
800000172,ヒュ,303000002,203000002,,,,,,,,
800000173,ヒョ,303000002,203000002,,,,,,,,
