id,name,child_of
300000001,0より小さい数,200000001
300000002,正の数・負の数で量を表すこと,200000001
300000003,絶対値と数の大小,200000001
300000004,正の数・負の数の加法，減法,200000001
300000005,正の数・負の数の乗法，除法,200000001
300000006,いろいろな計算,200000001
300000007,数の世界のひろがり,200000001
300000008,正の数・負の数の利用,200000001
300000009,数量を文字で表すこと,200000002
300000010,文字式の表し方,200000002
300000011,式の値,200000002
300000012,文字式の加法・減法,200000002
300000013,文字式と数の乗法・除法,200000002
300000014,関係を表す式,200000002
300000015,方程式とその解,200000003
300000016,方程式の解き方,200000003
300000017,比と比例式,200000003
300000018,方程式の利用,200000003
300000019,比例式の利用,200000003
300000020,関数,200000004
300000021,比例の式,200000004
300000022,座標,200000004
300000023,比例のグラフ,200000004
300000024,反比例の式,200000004
300000025,反比例のグラフ,200000004
300000026,比例・反比例の利用,200000004
300000027,直線と図形,200000005
300000028,図形の移動,200000005
300000029,基本の作図,200000005
300000030,図形の移動と基本の作図の利用,200000005
300000031,円とおうぎ形の性質,200000005
300000032,円とおうぎ形の計量,200000005
300000033,いろいろな立体,200000006
300000034,空間内の平面と直線,200000006
300000035,立体の構成,200000006
300000036,立体の体積,200000006
300000037,立体の表面積,200000006
300000038,データを活用して、問題を解決しよう,200000007
300000039,整理されたデータから読み取ろう,200000007
300000040,相対度数と確率,200000007
300000041,式の加法・減法,200000008
300000042,いろいろな多項式の計算,200000008
300000043,単項式の乗法・除法,200000008
300000044,文字式の利用,200000008
300000045,連立方程式とその解,200000009
300000046,連立方程式の解き方,200000009
300000047,連立方程式の利用,200000009
300000048,一次関数,200000010
300000049,一次関数とグラフ,200000010
300000050,一次関数の値の変化,200000010
300000051,一次関数のグラフ,200000010
300000052,一次関数の式を求めること,200000010
300000053,方程式のグラフ,200000010
300000054,連立方程式とグラフ,200000010
300000055,一次関数の利用,200000010
300000056,角と平行線,200000011
300000057,多角形の角,200000011
300000058,三角形の合同,200000011
300000059,証明とそのしくみ,200000011
300000060,証明の進め方,200000011
300000061,二等辺三角形,200000012
300000062,直角三角形の合同,200000012
300000063,平行四辺形の性質,200000012
300000064,平行四辺形になるための条件,200000012
300000065,いろいろな四角形,200000012
300000066,平行線と面積,200000012
300000067,四角形の性質の利用,200000012
300000068,確率の求め方,200000013
300000069,いろいろな確率,200000013
300000070,確率の利用,200000013
300000071,箱ひげ図,200000014
300000072,データを活用して、問題を解決しよう(2),200000014
300000073,式の乗法・除法,200000015
300000074,乗法の公式,200000015
300000075,因数分解,200000015
300000076,式の計算の利用,200000015
300000077,平方根,200000016
300000078,平方根の値,200000016
300000079,有理数と無理数,200000016
300000080,真の値と近似値,200000016
300000081,根号を含む式の乗法・除法,200000016
300000082,根号を含む式の計算,200000016
300000083,平方根の利用,200000016
300000084,二次方程式とその解き方,200000017
300000085,二次方程式の解の公式,200000017
300000086,二次方程式と因数分解,200000017
300000087,二次方程式の利用,200000017
300000088,関数y=ax^2,200000018
300000089,関数y=ax^2のグラフ,200000018
300000090,関数y=ax^2の値の増減と変域,200000018
300000091,関数y=ax^2の変化の割合,200000018
300000092,関数y=ax^2の利用,200000018
300000093,いろいろな関数,200000018
300000094,相似な図形,200000019
300000095,三角形の相似条件,200000019
300000096,三角形の相似条件と証明,200000019
300000097,平行線と線分の比,200000019
300000098,中点連結定理,200000019
300000099,相似な図形の面積,200000019
300000100,相似な立体の表面積・体積,200000019
300000101,相似の利用,200000019
300000102,円周角と中心角,200000020
300000103,円周角の定理の逆,200000020
300000104,円の性質の利用,200000020
300000105,三平方の定理,200000021
300000106,三平方の定理の利用,200000021
300000107,標本調査の方法,200000022
300000108,母集団と標本の関係,200000022
300000109,データを活用して、問題を解決しよう(3),200000022
300000110,多項式の加法・減法・乗法,200000023
300000111,因数分解,200000023
300000112,実数,200000023
300000113,1次不等式,200000023
300000114,集合,200000024
300000115,命題と条件,200000024
300000116,命題と証明,200000024
300000117,関数とグラフ,200000025
300000118,2次関数のグラフとその移動,200000025
300000119,2次関数の最大・最小と決定,200000025
300000120,2次方程式,200000025
300000121,グラフと2次方程式,200000025
300000122,2次不等式,200000025
300000123,2次関数の関連発展問題,200000025
300000124,三角比の基本,200000026
300000125,三角比の拡張,200000026
300000126,三角比の関連発展問題,200000026
300000127,正弦定理と余弦定理,200000026
300000128,三角形の面積・空間図形への応用,200000026
300000129,データの整理・データの代表値,200000027
300000130,データの散らばり,200000027
