grade,name,grade
200000001,正の数・負の数,000000007
200000002,文字の式,000000007
200000003,方程式,000000007
200000004,変化と対応,000000007
200000005,平面図形,000000007
200000006,空間図形,000000007
200000007,データの活用,000000007
200000008,式の計算,000000008
200000009,連立方程式,000000008
200000010,一次関数,000000008
200000011,図形の調べ方,000000008
200000012,図形の性質と証明,000000008
200000013,場合の数と確率,000000008
200000014,箱ひげ図とデータの活用,000000008
200000015,式の展開と因数分解,000000009
200000016,平方根,000000009
200000017,二次方程式,000000009
200000018,関数 y=ax^2,000000009
200000019,図形と相似,000000009
200000020,円の性質,000000009
200000021,三平方の定理,000000009
200000022,標本調査とデータの活用,000000009
200000023,数と式,000000010
200000024,集合と命題,000000010
200000025,2次関数,000000010
200000026,図形と計量,000000010
200000027,データの分析,000000010
200000028,場合の数,000000010
200000029,確率,000000010
200000030,図形の性質,000000010
200000031,数学と人間の活動,000000010
200000032,式と証明,000000011
200000033,複素数と方程式,000000011
200000034,図形と方程式,000000011
200000035,三角関数,000000011
200000036,指数関数と対数関数,000000011
200000037,微分法,000000011
200000038,積分法,000000011
200000039,数列,000000011
200000040,統計的な推測,000000011
200000041,関数,000000012
200000042,極限,000000012
200000043,微分法,000000012
200000044,微分法の応用,000000012
200000045,積分法,000000012
200000046,積分法の応用,000000012
200000047,平面上のベクトル,000000012
200000048,空間のベクトル,000000012
200000049,複素数平面,000000012
200000050,式と曲線,000000012
