node_id,node,school_year,part_of
100000001,数学,,
200000001,正の数・負の数,中学1年,
200000002,文字の式,中学1年,
200000003,方程式,中学1年,
200000004,変化と対応,中学1年,
200000005,平面図形,中学1年,
200000006,空間図形,中学1年,
200000007,データの活用,中学1年,
200000008,式の計算,中学2年,
200000009,連立方程式,中学2年,
200000010,一次関数,中学2年,
200000011,図形の調べ方,中学2年,
200000012,図形の性質と証明,中学2年,
200000013,場合の数と確率,中学2年,
200000014,箱ひげ図とデータの活用,中学2年,
200000015,式の展開と因数分解,中学3年,
200000016,平方根,中学3年,
200000017,二次方程式,中学3年,
200000018,関数 y=ax^2,中学3年,
200000019,図形と相似,中学3年,
200000020,円の性質,中学3年,
200000021,三平方の定理,中学3年,
200000022,標本調査とデータの活用,中学3年,
200000023,数と式,高校1年,
200000024,集合と命題,高校1年,
200000025,2次関数,高校1年,
200000026,図形と計量,高校1年,
200000027,データの分析,高校1年,
200000028,場合の数,高校1年,
200000029,確率,高校1年,
200000030,図形の性質,高校1年,
200000031,数学と人間の活動,高校1年,
200000032,式と証明,高校2年,
200000033,複素数と方程式,高校2年,
200000034,図形と方程式,高校2年,
200000035,三角関数,高校2年,
200000036,指数関数と対数関数,高校2年,
200000037,微分法,高校2年,
200000038,積分法,高校2年,
200000039,数列,高校2年,
200000040,統計的な推測,高校2年,
200000041,関数,高校3年,
200000042,極限,高校3年,
200000043,微分法,高校3年,
200000044,微分法の応用,高校3年,
200000045,積分法,高校3年,
200000046,積分法の応用,高校3年,
200000047,平面上のベクトル,高校3年,
200000048,空間のベクトル,高校3年,
200000049,複素数平面,高校3年,
200000050,式と曲線,高校3年,
300000001,0より小さい数,中学1年,200000001
300000002,正の数・負の数で量を表すこと,中学1年,200000001
300000003,絶対値と数の大小,中学1年,200000001
300000004,正の数・負の数の加法・減法,中学1年,200000001
300000005,正の数・負の数の乗法・除法,中学1年,200000001
300000006,いろいろな計算,中学1年,200000001
300000007,数の世界のひろがり,中学1年,200000001
300000008,正の数・負の数の利用,中学1年,200000001
300000009,数量を文字で表すこと,中学1年,200000002
300000010,文字式の表し方,中学1年,200000002
300000011,式の値,中学1年,200000002
300000012,文字式の加法・減法,中学1年,200000002
300000013,文字式と数の乗法・除法,中学1年,200000002
300000014,関係を表す式,中学1年,200000002
300000015,方程式とその解,中学1年,200000003
300000016,方程式の解き方,中学1年,200000003
300000017,比と比例式,中学1年,200000003
300000018,方程式の利用,中学1年,200000003
300000019,関数,中学1年,200000004
300000020,比例の式,中学1年,200000004
300000021,座標,中学1年,200000004
300000022,比例のグラフ,中学1年,200000004
300000023,反比例の式,中学1年,200000004
300000024,反比例のグラフ,中学1年,200000004
300000025,比例・反比例の利用,中学1年,200000004
300000026,直線と図形,中学1年,200000005
300000027,図形の移動,中学1年,200000005
300000028,基本の作図,中学1年,200000005
300000029,図形の移動と基本の作図の利用,中学1年,200000005
300000030,円とおうぎ形の性質,中学1年,200000005
300000031,円とおうぎ形の計量,中学1年,200000005
300000032,いろいろな立体,中学1年,200000006
300000033,空間内の平面と直線,中学1年,200000006
300000034,立体の構成,中学1年,200000006
300000035,立体の体積,中学1年,200000006
300000036,立体の表面積,中学1年,200000006
300000037,データを活用して・問題を解決しよう(1),中学1年,200000007
300000038,整理されたデータから読みとろう,中学1年,200000007
300000039,相対度数と確率,中学1年,200000007
300000040,式の加法・減法,中学2年,200000008
300000041,いろいろな多項式の計算,中学2年,200000008
300000042,単項式の乗法・除法,中学2年,200000008
300000043,文字式の利用,中学2年,200000008
300000044,連立方程式とその解,中学2年,200000009
300000045,連立方程式の解き方,中学2年,200000009
300000046,連立方程式の利用,中学2年,200000009
300000047,一次関数,中学2年,200000010
300000048,一次関数の値の変化,中学2年,200000010
300000049,一次関数のグラフ,中学2年,200000010
300000050,一次関数の式を求めること,中学2年,200000010
300000051,方程式とグラフ,中学2年,200000010
300000052,連立方程式とグラフ,中学2年,200000010
300000053,一次関数の利用,中学2年,200000010
300000054,角と平行線,中学2年,200000011
300000055,多角形の角,中学2年,200000011
300000056,三角形の合同,中学2年,200000011
300000057,証明とそのしくみ,中学2年,200000011
300000058,証明の進め方,中学2年,200000011
300000059,二等辺三角形,中学2年,200000012
300000060,直角三角形の合同,中学2年,200000012
300000061,平行四辺形の性質,中学2年,200000012
300000062,平行四辺形になるための条件,中学2年,200000012
300000063,いろいろな四角形,中学2年,200000012
300000064,平行線と面積,中学2年,200000012
300000065,四角形の性質の利用,中学2年,200000012
300000066,確率の求め方,中学2年,200000013
300000067,いろいろな確率,中学2年,200000013
300000068,確率の利用,中学2年,200000013
300000069,箱ひげ図,中学2年,200000014
300000070,データを活用して・問題を解決しよう(2),中学2年,200000014
300000071,式の乗法・除法,中学3年,200000015
300000072,乗法の公式,中学3年,200000015
300000073,因数分解,中学3年,200000015
300000074,式の計算の利用,中学3年,200000015
300000075,平方根,中学3年,200000016
300000076,平方根の値,中学3年,200000016
300000077,有理数と無理数,中学3年,200000016
300000078,真の値と近似値,中学3年,200000016
300000079,根号をふくむ式の乗法・除法,中学3年,200000016
300000080,根号をふくむ式の計算,中学3年,200000016
300000081,平方根の利用,中学3年,200000016
300000082,二次方程式とその解き方,中学3年,200000017
300000083,二次方程式の解の公式,中学3年,200000017
300000084,二次方程式と因数分解,中学3年,200000017
300000085,二次方程式の利用,中学3年,200000017
300000086,関数 y=ax^2,中学3年,200000018
300000087,関数 y=ax^2のグラフ,中学3年,200000018
300000088,関数 y=ax^2の値の増減と変域,中学3年,200000018
300000089,関数 y=ax^2の変化の割合,中学3年,200000018
300000090,関数 y=ax^2の利用,中学3年,200000018
300000091,いろいろな関数,中学3年,200000018
300000092,相似な図形,中学3年,200000019
300000093,三角形の相似条件,中学3年,200000019
300000094,三角形の相似条件と証明,中学3年,200000019
300000095,平行線と線分の比,中学3年,200000019
300000096,中点連結定理,中学3年,200000019
300000097,相似な図形の面積,中学3年,200000019
300000098,相似な立体の表面積・体積,中学3年,200000019
300000099,相似の利用,中学3年,200000019
300000100,円周角と中心角,中学3年,200000020
300000101,円周角の定理の逆,中学3年,200000020
300000102,円の性質の利用,中学3年,200000020
300000103,三平方の定理,中学3年,200000021
300000104,三平方の定理の利用,中学3年,200000021
300000105,標本調査の方法,中学3年,200000022
300000106,母集団と標本の関係,中学3年,200000022
300000107,データを活用して・問題を解決しよう(3),中学3年,200000022
300000108,多項式の加法・減法・乗法,高校1年,200000023
300000109,因数分解,高校1年,200000023
300000110,実数,高校1年,200000023
300000111,1次不等式,高校1年,200000023
300000112,集合,高校1年,200000024
300000113,命題と条件,高校1年,200000024
300000114,命題と証明,高校1年,200000024
300000115,関数とグラフ,高校1年,200000025
300000116,2次関数のグラフとその移動,高校1年,200000025
300000117,2次関数の最大・最小と決定,高校1年,200000025
300000118,2次方程式,高校1年,200000025
300000119,グラフと2次方程式,高校1年,200000025
300000120,2次不等式,高校1年,200000025
300000121,2次関数の関連発展問題,高校1年,200000025
300000122,三角比の基本,高校1年,200000026
300000123,三角比の拡張,高校1年,200000026
300000124,三角比の関連発展問題,高校1年,200000026
300000125,正弦定理と余弦定理,高校1年,200000026
300000126,三角形の面積・空間図形への応用,高校1年,200000026
300000127,データの整理・データの代表値,高校1年,200000027
300000128,データの散らばり,高校1年,200000027
300000129,分散と標準偏差,高校1年,200000027
300000130,データの相関,高校1年,200000027
300000131,仮説検定の考え方,高校1年,200000027
300000132,集合の要素の個数,高校1年,200000028
300000133,場合の数,高校1年,200000028
300000134,順列,高校1年,200000028
300000135,円順列・重複順列,高校1年,200000028
300000136,組合せ,高校1年,200000028
300000137,事象と確率,高校1年,200000029
300000138,確率の基本性質,高校1年,200000029
300000139,独立な試行・反復試行の確率,高校1年,200000029
300000140,条件付き確率,高校1年,200000029
300000141,期待値,高校1年,200000029
300000142,三角形の辺の比・五心,高校1年,200000030
